x;y;gid;Name;description;new
6.0731116;50.9287708;15;AWO;Schule;Berufskolleg
6.1132802;50.968232;24;Berufskolleg Wirtschaft;Berufskolleg;Berufskolleg
6.1120635;50.968071;28;Berufskolleg EST;Berufskolleg;Berufskolleg
6.3107432;51.0792475;115;Berufskolleg Erkelenz;Berufskolleg;Berufskolleg
6.2254801;51.0546633;137;Stadtbücherei Stadt Hückelhoven;Stadtbücherei;Bücherei
6.3134235;51.0803069;2212;Stadtbücherei Erkelenz;Stadtbücherei;Bücherei
6.1431863;50.961552;154;Freshman Institute Fachhochschule Aachen Campus Geilenkirchen;Fachhochschule;Fachhochschule
6.0899405;50.9294202;14;Comeniusschule;Förderschule;Förderschule
6.0005632;50.9940814;39;Janusz Korczak Schule;Schule;Förderschule
6.3024072;51.0812464;103;Pestalozzischule;Förderschule;Förderschule
6.22609;51.0651301;145;Peter - Jordan - Schule;Schule;Förderschule
6.1518214;51.0556413;165;Rurtal-Schule;Förderschule;Förderschule
6.14853;51.05797;169;Schule für Lernbehinderte;Schule für Lernbehinderte;Förderschule
6.1092657;50.9185727;6;Willy-Brandt-Gesamtschule;Gesamtschule;Gesamtschule
6.1156563;50.9644758;25;Stadt Geilenkirchen Kath. Gemeinschaftsschule Geilenkirchen;Gemeinschaftsschule;Gesamtschule
6.110114;50.972907;32;A-L-G;Gesamtschule;Gesamtschule
6.0036204;50.9934466;38;Gesamtschule Gangelt-Selfkant;Gesamtschule;Gesamtschule
6.1708188;51.1047377;72;Betty-Reis-Gesamtschule;Gesamtschule;Gesamtschule
6.1834639;51.0675121;147;Leonardo da Vinci Gesamtschule Hückelhoven;Gesamtschule;Gesamtschule
5.9279714;51.0267127;157;Förderverein Gesamtschule Gangelt-Selfkant e.V.;Gesamtschule;Gesamtschule
6.1509953;51.0558594;166;Städtische Gesamtschule Heinsberg-Oberbruch;Gesamtschule;Gesamtschule
6.1422416;50.9065032;2;Grundschule Boscheln;Grundschule;Grundschule
6.1239831;50.9183053;3;Katholische Grundschule Übach;Grundschule;Grundschule
6.1034404;50.9263123;9;Gemeinschafts Grundschule Palenberg;Grundschule;Grundschule
6.10334;50.92657;13;GGS Palenberg;Grundschule;Grundschule
6.07098;50.93105;16;Katholische Grundschule Scherpenseel;Grundschule;Grundschule
6.1072441;50.942809;17;GGS Frelenberg (Grundschule);Grundschule;Grundschule
6.0825981;50.9550383;19;Stadt Geilenkirchen Gemeinschaftsgrundschule, Teveren;Grundschule;Grundschule
