x;y;gid;Name;description;new
6.0974121;51.0657757;1;Pietros Pizzalinie Heinsberg;Pizzeria;Restaurant
6.0950365;51.0593234;2;Vinoteca Heinsberg;Restaurant;Restaurant
6.1263256;51.073966;3;Restaurant Croatia;restaurant;Restaurant
6.0928732;51.0608841;4;Hoa Mai;Restaurant;Restaurant
6.13683;51.05382;5;Estoril;Restaurant;Restaurant
6.09526;51.06357;6;MännerMetzger by OTTO GOURMET;Metzgerei;Metzger
6.0934317;51.0611966;7;Tempura Sushi;Sushi;Restaurant
6.09691;51.06388;8;Restaurant Medaillon;Restaurant;Restaurant
6.09797;51.06544;9;China Garten Restaurant Heinsberg;Restaurant;Restaurant
6.0963209;51.0634555;10;Jasmin Döner;Imbiss;Restaurant
6.0837824;51.0686869;11;Jasmin 1 Döner imbiss;Imbiss;Restaurant
6.14029;51.06215;12;Altstadt Oberbruch - Pizzeria & Kebap Haus;Pizzeria;Restaurant
6.0949765;51.0619236;13;Viet Bistro;Restaurant;Restaurant
6.0948997;51.0595968;14;Döner Akdeniz Heinsberg;Imbiss;Restaurant
6.0961862;51.0643734;15;Lychees;Imbiss;Restaurant
6.0950065;51.0597006;16;Arin Gyros Grill Heinsberg;Imbiss;Restaurant
6.1427542;51.0589338;17;Helena Grill;Imbiss;Restaurant
6.07691;51.09863;18;City- Snack;Imbiss;Restaurant
6.1449688;51.0395788;19;Zum Grillhahn;Imbiss;Restaurant
6.1005981;51.0658028;20;McDonald's Restaurant;Restaurant;Restaurant
6.115807;51.0615779;21;Bäcker Dick GmbH;Bäckerei;Baecker
6.0942389;51.063561;22;Kremers-Kupietz GmbH;Bäckerei;Baecker
6.1541448;51.0487351;23;Bäcker Dick GmbH;Bäckerei;Baecker
6.1456328;51.0609071;24;Bäcker Dick GmbH;Bäckerei;Baecker
6.0947879;51.0624246;25;Bäcker Dick GmbH;Bäckerei;Baecker
6.07104;51.07552;26;Bäcker Dick GmbH;Bäckerei;Baecker
6.0962567;51.0647428;27;Landbäckerei Stinges;Bäckerei;Baecker
6.1286232;51.0561356;28;Landbäckerei Stinges;Bäckerei;Baecker
6.0796193;51.1018539;29;Kremers-Kupietz GmbH;Bäckerei;Baecker
6.09526;51.06256;30;Kamps Bäckerei;Bäckerei;Baecker
6.1097045;51.0689865;31;Restaurant Mahlzeit;Restaurant;Restaurant
6.098426;51.0660071;32;Heinsbürger;Restaurant;Restaurant
6.0942389;51.063561;33;Kremers-Kupietz GmbH;Bäckerei;Baecker
6.0796193;51.1018539;34;Kremers-Kupietz GmbH;Bäckerei;Baecker
6.0934339;51.0774015;35;Bootshaus am Lago Laprello;Restaurant;Restaurant
6.13683;51.05382;36;Estoril;Restaurant;Restaurant
6.1188747;51.0601171;37;Burger King Heinsberg;Restaurant;Restaurant
6.1200414;51.0599771;38;Back Bulli;Bäckerei;Baecker
