x;y;gid;Name;description;new
6.1215531;50.9624198;13;Volksbank Heinsberg eG, Regionalzentrum Geilenkirchen;Bank;Bank
6.121424;50.962379;14;Geldautomat Volksbank Heinsberg eG;Bank;Geldautomat
6.03061;51.06863;16;Obspringen, Waldfeucht, Obspringen;Bushalte;Bushaltestelle
5.98889;51.06576;20;Waldfeucht, Waldfeucht, Markt;Bushalte;Bushaltestelle
5.9902734;51.0681182;21;Bushalte;Bushalte;Bushaltestelle
6.18767;50.99353;22;Leiffarth, Geilenkirchen, Leiffarth Sparkasse;Bushalte;Bushaltestelle
6.03061;51.06863;23;Obspringen, Waldfeucht, Obspringen;Bushalte;Bushaltestelle
6.18702;51.00215;24;Honsdorf, Geilenkirchen, Honsdorf;Bushalte;Bushaltestelle
6.2081199;50.99666;25;Lindern, Geilenkirchen, Lindern Bahnhof (Bus);Bahnhof;Bahnhof
6.18498;50.99251;26;Leiffarth, Geilenkirchen, Leiffarth Abzw.Beeck;Bushalte;Bushaltestelle
6.18582;50.98446;27;Beeck, Geilenkirchen, Beeck Kreuz;Bushalte;Bushaltestelle
6.17801;50.99078;28;Würm, Geilenkirchen, Würm Prummerner Weg;Bushalte;Bushaltestelle
6.16706;50.99026;29;Müllendorf, Geilenkirchen, Müllendorf Wurmbrücke;Bushalte;Bushaltestelle
6.215;50.99596;30;Lindern, Geilenkirchen, Lindern Kirche;Bushalte;Bushaltestelle
6.1684613;50.9874858;31;Bushalte;Bushalte;Bushaltestelle
6.21396;50.99701;32;Lindern, Geilenkirchen, Lindern Linnicher Straße;Bushalte;Bushaltestelle
6.18937;50.98533;33;Beeck, Geilenkirchen, Beeck Unterdorf;Bushalte;Bushaltestelle
6.2255;51.00012;34;Brachelen, Hückelhoven, Brachelen Neuer Karweg;Bushalte;Bushaltestelle
6.24735;50.99976;35;Brachelen, Hückelhoven, Brachelen Schwarzer Weg;Bushalte;Bushaltestelle
6.23946;51.00362;36;Brachelen, Hückelhoven, Brachelen Kirche;Bushalte;Bushaltestelle
6.23623;51.00615;37;Brachelen, Hückelhoven, Brachelen Neustraße;Bushalte;Bushaltestelle
6.24735;50.99976;38;Brachelen, Hückelhoven, Brachelen Schwarzer Weg;Bushalte;Bushaltestelle
6.27083;51.01309;39;Rurich, Hückelhoven, Rurich Kirche;Bushalte;Bushaltestelle
6.27742;51.03088;40;Baal, Hückelhoven, Baal Süd;Bushalte;Bushaltestelle
6.27982;51.03435;41;Baal, Hückelhoven, Baal Kirche;Bushalte;Bushaltestelle
6.2734108;51.0332266;42;Bahnhof;Bahnhof;Bahnhof
6.27322;51.03337;43;Baal, Hückelhoven, Baal Bahnhof (Bus);Bushalte;Bushaltestelle
6.2735047;51.0332233;44;Bushalte;Bushalte;Bushaltestelle
6.248955;51.043953;45;Doveren, Hückelhoven, Doveren Bahnhof;Bushalte;Bushaltestelle
6.26435;51.03764;46;Baal, Hückelhoven, Baal Damm;Bushalte;Bushaltestelle
6.24495;51.05195;47;Doveren, Hückelhoven, Doveren Schule;Bushalte;Bushaltestelle
6.2426;51.04571;48;Doveren, Hückelhoven, Doveren Provinzialstraße;Bushalte;Bushaltestelle
6.26278;51.05467;49;Doveren, Hückelhoven, Doveren Abzw. Doverhahn;Bushalte;Bushaltestelle
6.24825;51.04999;50;Doveren, Hückelhoven, Doveren Markt;Bushalte;Bushaltestelle
6.22332;51.0437;51;Hilfarth, Hückelhoven, Hilfarth Rurbrücke;Bushalte;Bushaltestelle
6.24705;51.04752;52;Doveren, Hückelhoven, Doveren Mölleberg;Bushalte;Bushaltestelle
6.24245;51.04684;53;Doveren, Hückelhoven, Doveren Holzapfelstraße;Bushalte;Bushaltestelle
6.22716;51.04855;54;Hückelhoven, Hückelhoven, Seniorenwohnpark;Bushalte;Bushaltestelle
6.22157;51.04789;55;Hückelhoven, Hückelhoven, Rheinstraße;Bushalte;Bushaltestelle
6.22324;51.05518;56;Hückelhoven, Hückelhoven, Rathaus;Bushalte;Bushaltestelle
6.2239214;51.0517706;57;Hückelhoven Parkhofstraße;Bushalte;Bushaltestelle
6.21955;51.0398;58;Hilfarth, Hückelhoven, Hilfarth Kreuz;Bushalte;Bushaltestelle
6.21893;51.05751;59;Hückelhoven, Hückelhoven, Zeche;Bushalte;Bushaltestelle
6.22324;51.05518;60;Hückelhoven, Hückelhoven, Rathaus;Bushalte;Bushaltestelle
6.22704;51.06447;61;Hückelhoven, Hückelhoven, Schlee;Bushalte;Bushaltestelle
6.2041899;51.06294;62;Schaufenberg, Hückelhoven, Schaufenberg Fa. Povel;Bushalte;Bushaltestelle
6.16178;51.00144;63;Kraudorf, Geilenkirchen, Kraudorf;Bushalte;Bushaltestelle
6.10871;51.06063;64;Heinsberg, Heinsberg, Kreishaus (Bus);Bushalte;Bushaltestelle
6.15571;51.00537;65;Hoven, Geilenkirchen, Hoven;Bushalte;Bushaltestelle
6.16023;50.99329;66;Kogenbroich, Geilenkirchen, Kogenbroich;Bushalte;Bushaltestelle
6.17801;50.99078;67;Würm, Geilenkirchen, Würm Prummerner Weg;Bushalte;Bushaltestelle
6.17871;50.99198;68;Würm, Geilenkirchen, Würm Kirche;Bushalte;Bushaltestelle
6.09738;51.06222;70;Heinsberg, Heinsberg, Ostpromenade;Bushalte;Bushaltestelle
6.09771;51.06545;72;Heinsberg, Heinsberg, Busbahnhof;Bushalte;Bushaltestelle
6.09779;51.05673;73;Heinsberg, Heinsberg, Gymnasium;Bushalte;Bushaltestelle
6.12285;51.059;74;Oberbruch, Heinsberg, Oberbruch Hartenbauer;Bushalte;Bushaltestelle
6.0636055;51.0787273;85;Bernhard J. Prinz Facharzt für Innere und Allgemeinmedizin;Allgemeinmedizin;Allgemeinmedizin
6.0931;51.06201;88;Herr Dr. med. Ekkehart Walter;Allgemeinmedizin;Allgemeinmedizin
6.0904489;51.0650983;90;Herr Richard Trevisan;Allgemeinmedizin;Allgemeinmedizin
6.09488;51.0607;91;Praxis Philipp Prinz;Allgemeinmedizin;Allgemeinmedizin
6.0932921;51.0640628;92;Herr Dr. med. Dieter Roettger;Allgemeinmedizin;Allgemeinmedizin
6.0998306;51.0624636;93;Dr.med. Christiane Schmitz;Allgemeinmedizin;Allgemeinmedizin
6.0931;51.06201;94;Dr.med. Anita Hoeppener;Allgemeinmedizin;Allgemeinmedizin
6.10896;51.06018;95;Volksbank Heinsberg eG, Regionalzentrum Heinsberg;Bank;Bank
6.0953593;51.0633193;96;Volksbank Heinsberg eG, Regionalzentrum Heinsberg - Hochstraße;Bank;Bank
6.109981;51.0693894;97;Geldautomat Volksbank Heinsberg eG;Bank;Geldautomat
6.0932787;51.062368;98;Volksbank Heinsberg eG, SB-Center Heinsberg - Apfelstraße;Bank;Bank
6.1413172;51.0548592;99;Kreissparkasse Heinsberg - Filiale;Bank;Bank
6.14405;51.05929;100;Volksbank Heinsberg eG, Filiale Oberbruch;Bank;Bank
6.1503786;51.043887;101;Kreissparkasse Heinsberg - Filiale;Bank;Bank
6.1450003;51.0415207;102;Volksbank Heinsberg eG, Filiale Dremmen;Bank;Bank
6.07181;51.07475;103;Volksbank Heinsberg eG, Filiale Kirchhoven;Bank;Bank
6.0946664;51.0621056;104;Commerzbank;Bank;Bank
6.14091;51.06268;112;Oberbruch, Heinsberg, Oberbruch Altstadt;Bushalte;Bushaltestelle
6.13518;51.07235;113;Unterbruch, Heinsberg, Unterbruch Alte Schmiede;Bushalte;Bushaltestelle
6.1379;51.04664;114;Oberbruch, Heinsberg, Oberbruch Hülhoven Kreuz;Bushalte;Bushaltestelle
6.06633;51.07781;115;Kirchhoven, Heinsberg, Kirchhoven Schuttorf;Bushalte;Bushaltestelle
6.0989601;51.0647403;116;Heinsberg(Rheinl);Bahnhof;Bahnhof
6.1087769;51.0618;117;Heinsberg, Kreishaus Bf;Bahnhof;Bahnhof
6.09771;51.06545;118;Heinsberg, Heinsberg, Busbahnhof;Bushalte;Bushaltestelle
6.10871;51.06063;119;Heinsberg, Heinsberg, Kreishaus (Bus);Bushalte;Bushaltestelle
6.09215;51.05813;120;Heinsberg, Heinsberg, AOK;Bushalte;Bushaltestelle
6.10695;51.06372;121;Heinsberg, Heinsberg, Industriestraße;Bushalte;Bushaltestelle
6.09738;51.06222;122;Heinsberg, Heinsberg, Ostpromenade;Bushalte;Bushaltestelle
6.08913;51.06583;123;Heinsberg, Heinsberg, Liecker Straße;Bushalte;Bushaltestelle
6.10332;51.06581;124;Heinsberg, Heinsberg, Rudolf-Diesel-Straße;Bushalte;Bushaltestelle
6.10435;51.05907;125;Heinsberg, Heinsberg, Agentur für Arbeit;Bushalte;Bushaltestelle
6.11472;51.05591;126;Schafhausen, Heinsberg, Schafhausen Mehrzweckhalle;Bushalte;Bushaltestelle
6.11837;51.05572;127;Schafhausen, Heinsberg, Schafhausen Kuhlertgraben;Bushalte;Bushaltestelle
6.11163;51.06247;128;Heinsberg, Heinsberg, Gewerbegebiet;Bushalte;Bushaltestelle
6.11105;51.06361;129;Heinsberg, Heinsberg, Siemensstraße;Bushalte;Bushaltestelle
6.11219;51.0653;130;Heinsberg, Heinsberg, Borsigstraße;Bushalte;Bushaltestelle
6.09841;51.068772;131;Heinsberg, Kolpingstrasse;Bushalte;Bushaltestelle
6.09882;51.06929;132;Heinsberg, Heinsberg, Kolpingstraße;Bushalte;Bushaltestelle
6.10505;51.068;133;Heinsberg, Heinsberg, Unterbrucher Straße;Bushalte;Bushaltestelle
6.07853;51.05801;134;Aphoven, Heinsberg, Aphoven Oberlieck;Bushalte;Bushaltestelle
6.0735099;51.05172;135;Aphoven, Heinsberg, Aphoven Kreutzer;Bushalte;Bushaltestelle
6.08409;51.06874;136;Lieck, Heinsberg, Lieck;Bushalte;Bushaltestelle
6.0928875;51.0567163;137;Bushalte;Bushalte;Bushaltestelle
6.11709;51.07184;138;Unterbruch, Heinsberg, Unterbruch Peters;Bushalte;Bushaltestelle
6.12745;51.0741;139;Unterbruch, Heinsberg, Unterbruch Kirche;Bushalte;Bushaltestelle
6.13339;51.07535;140;Unterbruch, Heinsberg, Unterbruch Kirchpfad;Bushalte;Bushaltestelle
6.1316217;51.0561975;141;Bushalte;Bushalte;Bushaltestelle
6.12776;51.05742;142;Oberbruch, Heinsberg, Oberbruch Grebben Schule;Bushalte;Bushaltestelle
6.1349393;51.0532526;143;Heinsberg-Oberbruch;Bushalte;Bushaltestelle
6.13332;51.05211;144;Oberbruch, Heinsberg, Oberbruch Grebben Andreasstraße;Bushalte;Bushaltestelle
6.14637;51.05697;145;Oberbruch, Heinsberg, Oberbruch Freibad;Bushalte;Bushaltestelle
6.14233;51.0585;146;Oberbruch, Heinsberg, Oberbruch Volkspark;Bushalte;Bushaltestelle
6.14904;51.05741;147;Oberbruch, Heinsberg, Oberbruch Parkstraße;Bushalte;Bushaltestelle
6.14691;51.0603;148;Oberbruch, Heinsberg, Oberbruch Markt;Bushalte;Bushaltestelle
6.15025;51.05654;149;Oberbruch, Heinsberg, Oberbruch Schulzentrum;Bushalte;Bushaltestelle
6.15952;51.05462;150;Oberbruch, Heinsberg, Oberbruch Kranzes;Bushalte;Bushaltestelle
6.1373066;51.0539321;151;Bushalte;Bushalte;Bushaltestelle
6.1528646;51.0586552;152;Bushalte;Bushalte;Bushaltestelle
6.1551513;51.0547884;153;Bushalte;Bushalte;Bushaltestelle
6.1360999;51.049853;154;Bushalte;Bushalte;Bushaltestelle
6.1298343;51.0509524;155;Bushalte;Bushalte;Bushaltestelle
6.1261941;51.0487983;156;Bushalte;Bushalte;Bushaltestelle
6.1237259;51.0477427;157;Bushalte;Bushalte;Bushaltestelle
6.15114;51.04508;158;Dremmen, Heinsberg, Dremmen Bahnhof (Bus);Bushalte;Bushaltestelle
6.14921;51.0427;159;Dremmen, Heinsberg, Dremmen Sängerheim;Bushalte;Bushaltestelle
6.14403;51.04251;160;Dremmen, Heinsberg, Dremmen Sebastianusstraße;Bushalte;Bushaltestelle
6.14665;51.03918;161;Dremmen, Heinsberg, Dremmen Kirche;Bushalte;Bushaltestelle
6.15379;51.03867;162;Dremmen, Heinsberg, Dremmen Falder Straße;Bushalte;Bushaltestelle
6.15253;51.04567;163;Heinsberg-Dremmen;Bahnhof;Bahnhof
6.1054619;51.0385939;164;Bushalte;Bushalte;Bushaltestelle
6.1128884;51.0491616;165;Bushalte;Bushalte;Bushaltestelle
6.1117199;51.0530704;166;Bushalte;Bushalte;Bushaltestelle
6.09435;51.05445;167;Heinsberg, Heinsberg, Friedhof;Bushalte;Bushaltestelle
6.10244;51.04154;168;Schafhausen, Heinsberg, Schafhausen Schleiden Derichs;Bushalte;Bushaltestelle
6.07182;51.04545;169;Aphoven, Heinsberg, Aphoven Mitte;Bushalte;Bushaltestelle
6.06983;51.04157;170;Aphoven, Heinsberg, Aphoven Post;Bushalte;Bushaltestelle
6.05804;51.0406;171;Laffeld, Heinsberg, Laffeld Genstraße (Schulbus);Bushalte;Bushaltestelle
6.05473;51.03869;172;Laffeld, Heinsberg, Laffeld Schule;Bushalte;Bushaltestelle
6.06223;51.03883;173;Laffeld, Heinsberg, Laffeld Mitte;Bushalte;Bushaltestelle
6.07265;51.03713;174;Aphoven, Heinsberg, Aphoven Schelsberg;Bushalte;Bushaltestelle
6.07519;51.03317;175;Straeten, Heinsberg, Straeten Scheifendahl Mitte;Bushalte;Bushaltestelle
6.07925;51.02944;176;Straeten, Heinsberg, Straeten Scheifendahl Oberdorf;Bushalte;Bushaltestelle
6.06446;51.02451;177;Waldenrath, Heinsberg, Waldenrath Pütt;Bushalte;Bushaltestelle
6.03952;51.05688;178;Braunsrath, Waldfeucht, Braunsrath Dorfplatz;Bushalte;Bushaltestelle
6.05581;51.05346;179;Aphoven, Heinsberg, Aphoven Abzw. Braunsrath;Bushalte;Bushaltestelle
6.03835;51.0625;180;Löcken, Waldfeucht, Löcken;Bushalte;Bushaltestelle
6.03168;51.0629;181;Schöndorf, Waldfeucht, Schöndorf;Bushalte;Bushaltestelle
6.02395;51.05447;182;Hontem, Waldfeucht, Hontem;Bushalte;Bushaltestelle
6.03809;51.05451;183;Braunsrath, Waldfeucht, Braunsrath Mühlenberg;Bushalte;Bushaltestelle
