x;y;gid;Name;description;new
6.11222;51.06936;4;Sascha Laumen Happy-Preis;Einrichtung;Haushaltswaren
6.2792841;51.0339325;5;Stern-Apotheke;Apotheke;Apotheke
6.139479;51.100779;19;Wassenberger Polsterwerkstätten;Inneneinrichtung;Möbel
5.9881011;51.0702284;20;Dessy;mode;Mode
6.2060773;50.9971214;28;Grünes Warenhaus;Garten;Garten
5.9073471;51.014501;29;Lavedo Custom Leather E.k.;Mode;Mode
5.924047;50.9953501;30;Star Tankstelle Husmann;Tankstelle;Kiosk
6.07371;50.97989;31;moland GmbH & Co. KG;Mode;Mode
6.1031735;50.977168;33;Bauma GmbH;Baumarkt;Baumarkt
6.0702571;51.1049754;34;Tekstra;Garten;Garten
6.12197;51.06114;38;Winkens GmbH;Garten;Garten
6.0931612;51.0643867;39;ASIA AFRO SHOP und Kiosk in Heinsberg;Kiosk;Kiosk
6.09277;51.06097;46;Creative Fashion;Mode;Mode
6.1128;51.0682;47;TAKKO FASHION Heinsberg;Mode;Mode
6.0949001;51.06102;48;MODE NOLTEN;Mode;Mode
6.09278;51.06098;49;Weiss Womens Fashion e.K.;Mode;Mode
6.09797;51.06544;50;Strauch Mode;Mode;Mode
6.0950784;51.0622856;51;M&B Moda Park;Mode;Mode
6.10661;51.0655;52;Heinsberger Strick GmbH;Mode;Mode
6.0965538;51.064573;53;tausendschön;Mode;Mode
6.0969323;51.0650979;54;Greko KG;Mode;Mode
6.0946785;51.061871;55;Tredy-fashion GmbH;Mode;Mode
6.0959346;51.0639969;56;Siegbert Kaumanns Cheyenne;Mode;Mode
6.0921;51.05974;57;Secondhand - Damen- & Herrenmoden Bei Maja;Mode;Mode
6.0947501;51.0638103;58;Black & White;Mode;Mode
6.09797;51.06544;59;Jeans Fritz;Mode;Mode
6.0956783;51.0631229;60;H&M;Mode;Mode
6.0949743;51.0615628;61;Ernsting's family;Mode;Mode
6.1241618;51.075105;62;Schmitz Kindermoden;Mode;Mode
6.0955124;51.0629938;63;Cecil Heinrichs Systemhandel C.GmbH& Co.KG;Mode;Mode
6.0949466;51.0612339;64;KiK Textilien und Non-Food GmbH;Mode;Mode
6.1146675;51.0614541;65;Shell;Tankstelle;Kiosk
6.0880606;51.0664351;66;TOTAL Tankstelle;Tankstelle;Kiosk
6.1130835;51.0657761;67;Markenfreie Tankstelle;Tankstelle;Kiosk
6.1089445;51.0631052;68;JET-Tankstelle;Tankstelle;Kiosk
