i;j;demand
129;2;93.51899203
129;6;65.57091989
129;135;152.7342963
129;14;288.270312
129;144;2.967541754
129;152;1.875629678
129;147;6.116191573
129;149;3.094616112
129;22;16.08324553
129;151;4.828820008
129;24;5.194655204
129;25;5.123746875
129;47;15.54766346
129;28;5.099529584
129;158;29.22658663
129;31;7.014185848
129;167;35.53060134
129;42;3.801351388
129;44;6.145213642
129;175;9.430635981
129;178;13.2474118
129;180;7.219465556
129;57;49.20764761
129;63;7.757075971
129;193;8.410251004
129;194;68.37364622
129;69;8.847415933
129;198;119.1603627
129;72;6.372156535
129;74;15.86414796
129;206;43.9504527
129;80;10.24396991
129;211;51.67861665
129;213;9.706454538
129;214;4.96945034
129;87;63.39046847
129;217;79.86854862
129;219;16.07539688
129;93;19.28261761
129;98;16.3498371
129;103;41.1026508
129;105;8.155003339
129;106;18.50824154
129;39;7.758097091
129;113;87.74116422
129;83;31.46380422
129;118;52.75735026
129;121;320.8861345
129;170;15.47742509
2;129;227.9484081
2;6;956.6594602
2;135;359.0556866
2;14;265.3338517
2;144;18.34618157
2;152;11.59567261
2;147;37.63478601
2;149;19.31066176
2;22;435.3267726
2;151;29.85312963
2;24;130.7746181
2;25;106.7910551
2;47;91.66091179
2;28;105.5699133
2;158;193.0456307
2;31;188.3772202
2;167;219.4350292
2;42;22.94383743
2;44;37.99144701
2;175;55.67535236
2;178;78.16722138
2;180;44.106847
2;57;325.1717071
2;63;45.31390194
2;193;49.74438955
2;194;265.327301
2;69;56.16694473
2;198;237.8764559
2;72;38.24267567
2;74;84.83390675
2;206;194.6437273
2;80;58.9185771
2;211;219.1677769
2;213;82.87591585
2;214;63.04151516
2;87;255.2570729
2;217;863.3720159
2;219;401.6038236
2;93;106.5160771
2;98;94.9370738
2;103;231.1288665
2;105;47.82766395
2;106;103.256229
2;39;48.48766779
2;113;644.0210366
2;83;97.12630444
2;118;241.7735975
2;121;636.5409872
2;170;96.22309443
6;129;77.01472816
6;2;705.0716451
6;135;121.6382387
6;14;90.61014859
6;144;5.916899127
6;152;3.739765949
6;147;12.13774276
6;149;6.227957423
6;22;104.2188205
6;151;9.628050171
6;24;27.59830761
6;25;21.98859489
6;47;29.56192093
6;28;21.94437721
6;158;62.25990511
6;31;37.47150455
6;167;70.77085374
6;42;7.399707187
6;44;12.2527709
6;175;17.95607672
6;178;25.2100178
6;180;14.39469197
6;57;104.8724053
6;63;14.61436462
6;193;16.04325859
6;194;85.57175071
6;69;17.9448733
6;198;76.71847075
6;72;12.50502244
6;74;27.3601167
6;206;65.96822331
6;80;19.00206187
6;211;64.32458155
6;213;26.72863736
6;214;19.81634854
6;87;82.32396184
6;217;291.3600644
6;219;115.8879351
6;93;34.35291868
6;98;30.61852881
6;103;74.54227917
6;105;15.42508788
6;106;33.30157226
6;39;15.46865443
6;113;260.9067724
6;83;31.32458619
6;118;81.14674943
6;121;211.8247609
6;170;31.03328838
135;129;151.9875572
135;2;176.4550459
135;6;91.62996282
135;14;173.8631309
135;144;8.504788611
135;152;5.37543706
135;147;17.52862158
135;149;8.868975756
135;22;30.66264182
135;151;13.83909539
135;24;9.71022067
135;25;12.26009699
135;47;52.89083905
135;28;12.36281804
135;158;85.98019585
135;31;13.08179604
135;167;117.879637
135;42;11.18710033
135;44;17.96779752
135;175;32.66982358
135;178;39.96125162
135;180;21.11761705
135;57;194.5949154
135;63;28.13634371
135;193;40.58898261
135;194;237.7828332
135;69;32.97773662
135;198;574.2287033
135;72;30.43817786
135;74;69.87076943
135;206;62.47348223
135;80;40.73588734
135;211;127.0987369
135;213;25.76977619
135;214;9.709451756
135;87;563.1322585
135;217;156.1305763
135;219;30.74775712
135;93;122.5957995
135;98;91.3387121
135;103;190.1892208
135;105;45.71836312
135;106;77.78331886
135;39;22.68742656
135;113;118.7998625
135;83;100.1128678
135;118;109.6658727
135;121;598.3984578
135;170;45.50925902
14;129;187.429329
14;2;69.85066693
14;6;42.55352665
14;135;181.6845128
14;144;2.342234134
14;152;1.480405069
14;147;4.827414022
14;149;2.442531931
14;22;11.68423289
14;151;3.811311849
14;24;3.929912619
14;25;3.76569929
14;47;12.0265634
14;28;3.79436427
14;158;23.06808615
14;31;5.03443693
14;167;26.75141225
14;42;3.000346992
14;44;4.907651047
14;175;8.159874859
14;178;11.6171027
14;180;5.698210862
14;57;38.838824
14;63;6.380417005
14;193;7.086057576
14;194;72.59608235
14;69;6.344829638
14;198;177.2079811
14;72;4.903061721
14;74;9.832125997
14;206;52.76084335
14;80;8.085404685
14;211;57.61378756
14;213;13.41444546
14;214;4.928792451
14;87;44.99772393
14;217;87.76951955
14;219;15.32521655
14;93;18.7189869
14;98;12.86868076
14;103;33.14457035
14;105;6.823039899
14;106;15.06587684
14;39;6.066285007
14;113;41.51804698
14;83;16.21527148
14;118;21.92317054
14;121;156.495043
14;170;12.21608872
144;129;4.062143581
