ID;inhabitants;Longitude;Latitude;cumOut;cumIn
151;1397;5.8977979;51.0127376;1285;617
28;1212;6.4066539;51.0819595;753;629
69;1582;6.1664266;50.9503887;1051;888
213;1510;6.2488851;51.1747869;768;464
106;3469;6.074566;51.10225;1511;1246
113;5730;6.281336;51.0359371;2629;2008
47;3816;6.0494515;51.0048902;1841;1457
135;8405;6.176746;51.06555;4853;3248
219;2642;6.3155856;51.1284032;1722;1039
180;1990;5.989718;51.0645775;1359;868
167;8410;6.1092773;50.9418321;4543;3236
98;2778;6.101586;51.05811;1861;1765
211;4575;6.198966;51.1525304;2983;1801
149;881;5.9412456;50.992918;811;390
14;3777;6.215546;51.09544;1569;1310
24;902;6.348706;51.0352244;561;468
118;3655;6.2378688;51.0041635;2508;1790
121;12197;6.2127421;51.0362728;5278;3532
57;10946;6.10792;50.972907;5701;4824
175;2386;6.035066;51.05466;1614;1284
74;2008;6.1777705;50.9937995;1331;1127
194;6888;6.145706;51.11281;2059;1204
158;7865;6.1199253;50.9157373;3056;2177
217;10373;6.2839105;51.1407506;4856;2932
25;1194;6.400366;51.0473;742;620
6;5390;6.302166;51.07935;3346;2795
31;1266;6.3692127;51.0910331;787;657
93;2977;6.126526;51.07337;1995;1893
44;1729;5.989606;51.0233734;1156;914
178;3313;6.0344966;51.0912441;2262;1444
103;8380;6.069286;51.07474;4807;4559
193;1483;6.0991624;51.1233898;991;579
2;14859;6.3197284;51.0795594;9225;7707
87;7076;6.142496;51.04288;3839;3642
144;851;5.8988288;51.0506913;783;375
198;4702;6.187596;51.09782;2156;1260
147;1737;5.934432;51.0249063;1598;767
206;2376;6.2520813;51.13672;777;468
63;1833;6.0731831;50.9774828;811;686
39;2165;6.0005789;50.9938653;742;587
152;535;5.9176989;50.9965563;493;237
42;1009;6.0205068;51.0201895;675;534
129;2965;6.223336;51.07621;1961;1450
83;2254;6.173999;51.0157303;1511;1434
105;1408;6.098066;51.09271;943;895
80;2246;6.070584;51.0147304;1506;1428
22;2578;6.3188082;51.03069;1166;974
214;816;6.2810913;51.1705;532;321
170;4246;6.068786;50.93105;2862;2242
72;1085;6.146846;50.97616;720;609
